Date,Close Price,SMA,RSI,MACD Line,Signal Line,MACD Histogram
09/23/2024,225.81,225.213,0,0,0,0
09/20/2024,227.62,225.562,0,0,0,0
09/19/2024,224.63,225.693,0,0,0,0
09/18/2024,217.54,225.145,0,0,0,0
09/17/2024,214.5,224.221,0,0,0,0
09/16/2024,213.92,222.648,33.3551,0,0,0
09/13/2024,221.91,222.109,48.1374,0,0,0
09/12/2024,219.82,221.55,45.9637,0,0,0
09/11/2024,217.89,220.937,42.8397,0,0,0
09/10/2024,216.73,220.037,32.1053,0,0,0
09/09/2024,216.71,219.127,34.3204,0,0,0
09/06/2024,219.77,218.342,41.929,0,0,0
09/05/2024,221.52,218.031,46.4589,0,0,0
09/04/2024,217.48,218.025,39.038,0,0,0
09/03/2024,221.17,218.692,44.3744,0,0,0
08/30/2024,227.48,220.048,49.847,0,0,0
08/29/2024,228.88,220.745,54.8131,-3.59615,0,0
08/28/2024,225.68,221.331,60.1093,-3.29817,0,0
08/27/2024,224.89,222.031,63.6675,-3.09014,0,0
08/26/2024,223.891,222.747,62.9725,-2.97167,0,0
08/23/2024,224.33,223.509,53.9185,-2.80993,0,0
08/22/2024,223.9,223.922,56.9818,-2.68549,0,0
08/21/2024,225.05,224.275,62.5883,-2.46565,0,0
08/20/2024,225.45,225.072,65.752,-2.2334,0,0
08/19/2024,223.04,225.259,60.5258,-2.21824,0,0
08/16/2024,223.65,224.876,57.0243,-2.13242,44.73,-46.8624
08/15/2024,222.76,224.264,52.317,-2.11188,80.336,-82.4479
08/14/2024,219.7,223.666,54.3058,-2.31582,108.209,-110.525
08/13/2024,219.01,223.078,45.2588,-2.50426,130.369,-132.873
08/12/2024,215.6,222.249,20.1195,-2.89538,147.415,-150.311
08/09/2024,211.97,221.013,11.758,-3.45839,160.326,-163.785
08/08/2024,208.83,219.506,11.79,-4.11057,170.027,-174.138
08/07/2024,206.39,217.64,10.9691,-4.76933,177.3,-182.069
08/06/2024,201.07,215.202,9.27776,-5.6555,182.054,-187.709
08/05/2024,196,212.498,6.61589,-6.68978,184.843,-191.533
08/02/2024,217.71,211.904,44.2611,-5.69202,191.416,-197.108
08/01/2024,217.02,211.33,42.4911,-4.90048,196.537,-201.438
07/31/2024,220.63,211.423,45.7481,-3.93651,201.356,-205.292
07/30/2024,216.12,211.134,44.1137,-3.49617,204.309,-207.805
07/29/2024,215.75,211.149,43.2524,-3.14084,206.597,-209.738
07/26/2024,216.01,211.553,44.172,-2.80592,208.479,-211.285
07/25/2024,214.62,212.132,45.4836,-2.62243,209.708,-212.33
07/24/2024,217.13,213.206,48.381,-2.24855,211.192,-213.441
07/23/2024,222.68,215.367,55.8804,-1.48727,213.49,-214.977
07/22/2024,223.09,218.076,59.7578,-0.841166,215.41,-216.251
07/19/2024,223.275,218.633,63.3688,-0.310617,216.983,-217.293
07/18/2024,222.27,219.158,65.0979,0.0284246,218.04,-218.012
07/17/2024,226.64,219.758,74.7579,0.642335,219.76,-219.118
07/16/2024,232.33,221.38,84.7589,1.5699,222.274,-220.704
07/15/2024,233.09,223.114,74.5608,2.33937,224.437,-222.098
07/12/2024,228.68,224.38,66.6429,2.56377,225.286,-222.722
07/11/2024,225.77,225.495,57.4862,2.47823,225.383,-222.904
07/10/2024,229.25,226.707,69.7147,2.66057,226.156,-223.496
07/09/2024,226.372,227.077,64.8321,2.54354,226.199,-223.656
07/08/2024,223.25,227.093,59.3613,2.1738,225.609,-223.436
07/05/2024,221.65,226.93,59.0406,1.73172,224.818,-223.086
07/03/2024,219.03,226.606,52.4365,1.15662,223.66,-222.503
07/02/2024,215.1,225.452,39.8582,0.379354,221.948,-221.569
07/01/2024,211.92,223.411,36.0862,-0.487611,219.942,-220.43
06/28/2024,210.3,221.132,34.3957,-1.29053,218.014,-219.304
06/27/2024,212.35,219.499,38.3623,-1.74136,216.881,-218.623
06/26/2024,210.64,217.986,29.98,-2.21114,215.633,-217.844
